condition_name,id,query,summary,reference,response,response_status,failure_class,failure_stage,source_error,retrieval_sources,retrieval_source_types,query_constraints_json,ranked_source_summary,retrieval_feature_summary,source_needed,docs_scope_needed,validity_sensitive,attachment_dependent,query_type,version_sensitive,system_scope_required,context_precision_without_reference,context_recall,factual_correctness,faithfulness,user_input
all_docs_validity_aware,HPCSSUP-98608,"Dear Henry,
I hope this email finds you well!
I would like to load lammps gpu in my account, but I got the error of ""sbatch: error: Batch job submission failed: Invalid account or account/partition combination specified"". My slurm script is attached. Could you please let me know the correct format of the slurm script?
Many thanks!
Best Regards,
Ruitian
-------------------------------------------------
Dr. Ruitian He
Postdoctoral Research Assistant
Oxford Thermofluids Institute
Department of Engineering Science
University of Oxford
Oxford, OX2 0ES",Enquiry about my account name,,,ok,,,,docs|external_docs|tickets,external_official|local_official|ticket_memory,"{""module_names"": [], ""partition_names"": [], ""query_type"": ""local_operational"", ""scope_family_names"": [], ""scope_required"": null, ""service_names"": [], ""software_names"": [""LAMMPS Molecular Dynamics Simulator""], ""software_versions"": [], ""system_names"": [], ""toolchain_names"": [], ""toolchain_versions"": [], ""version_sensitive_guess"": null}",r1:docs/local_official/unknown:https://docs.hpc.cam.ac.uk/hpc/user-guide/batch.html::chunk::0003 | r2:unknown/ticket_memory/current:HPCSSUP-57238 | r3:external_docs/external_official/unknown:https://slurm.schedmd.com/quickstart.html::chunk::0000,r1:local_official:final=1.080:auth=1.000:scope=0.000:ver=0.000:status=0.000:fresh=0.000 | r2:ticket_memory:final=1.046:auth=0.000:scope=0.000:ver=0.000:status=1.000:fresh=0.571 | r3:external_official:final=1.040:auth=0.500:scope=0.000:ver=0.000:status=0.000:fresh=0.000,both,local_official,yes,no,local_operational,no,yes,0.9379251700546283,1.0,nan,1.0,
all_docs_validity_aware,HPCSSUP-98575,"Dear HPC Group,
I am Wenhao Xu, a PhD student in the Department of Clinical Neurosciences, working in Prof. Peter Smielewski’s group. I am writing to ask about extending our SL3 CPU allocation, as my current usage on account wx266 has reached the limit.
According to mybalance records, I have used 380,694 CPU hours under Account SMIELEWSKI-SL3-CPU over the last year, and I would be grateful if you could advise:
1.
Whether it is possible to request additional CPU hours for continued work this year; and
1.
Whether SL3 free usage reset annually, and if so, when the reset could occur.
If you need any additional details, please let me know.
Many thanks for your help.
Best,
–
Wenhao Xu
PhD candidate, Department of Clinical Neurosciences
Clare Hall, University of Cambridge",Query on extending SL3 CPU usage and annual reset,,,ok,,,,docs|external_docs|tickets,external_official|local_official|ticket_memory,"{""module_names"": [], ""partition_names"": [], ""query_type"": ""local_operational"", ""scope_family_names"": [], ""scope_required"": null, ""service_names"": [], ""software_names"": [], ""software_versions"": [], ""system_names"": [], ""toolchain_names"": [], ""toolchain_versions"": [], ""version_sensitive_guess"": null}",r1:docs/local_official/unknown:https://docs.hpc.cam.ac.uk/hpc/user-guide/policies.html::chunk::0004 | r2:external_docs/external_official/unknown:https://slurm.schedmd.com/rest_api.html::chunk::0154 | r3:unknown/ticket_memory/unknown:HPCSSUP-100211,r1:local_official:final=1.080:auth=1.000:scope=0.000:ver=0.000:status=0.000:fresh=0.000 | r2:external_official:final=1.040:auth=0.500:scope=0.000:ver=0.000:status=0.000:fresh=0.000 | r3:ticket_memory:final=1.010:auth=0.000:scope=0.000:ver=0.000:status=0.000:fresh=1.000,tickets,none,yes,no,local_operational,no,yes,0.7499999999625,1.0,0.09,0.42857142857142855,
all_docs_validity_aware,HPCSSUP-98537,"Hi Team,
I am having an issue with my interactive OnDemand notebooks. They seem to reach the point of Starting and then crash before they can actually begin. Here is an output.log:
```
/var/spool/slurm/slurmd/job21509569/slurm_script: line 3: module: command not found
Script starting...
Waiting for Jupyter Notebook server to open port 61834...
TIMING - Starting main script at: Fri Jan 30 15:00:10 GMT 2026
TIMING - Starting wait at: Fri Jan 30 15:00:10 GMT 2026
/home/tsl30/ondemand/data/sys/dashboard/batch_connect/sys/jupyter/csd3/output/cad586e3-86c7-48bb-b093-8249dc27ee3f/script.sh: line 14: module: command not found
/home/tsl30/ondemand/data/sys/dashboard/batch_connect/sys/jupyter/csd3/output/cad586e3-86c7-48bb-b093-8249dc27ee3f/script.sh: line 17: module: command not found
/home/tsl30/ondemand/data/sys/dashboard/batch_connect/sys/jupyter/csd3/output/cad586e3-86c7-48bb-b093-8249dc27ee3f/script.sh: line 20: module: command not found
TIMING - Starting jupyter at: Fri Jan 30 15:00:10 GMT 2026
+ jupyter notebook --config=/home/tsl30/ondemand/data/sys/dashboard/batch_connect/sys/jupyter/csd3/output/cad586e3-86c7-48bb-b093-8249dc27ee3f/config.py
/home/tsl30/ondemand/data/sys/dashboard/batch_connect/sys/jupyter/csd3/output/cad586e3-86c7-48bb-b093-8249dc27ee3f/script.sh: line 27: jupyter: command not found
Timed out waiting for Jupyter Notebook server to open port 61834!
TIMING - Wait ended at: Fri Jan 30 15:01:11 GMT 2026
Cleaning up...
```
I do not understand what this means! Help!!
Best wishes,
Tim
Sent from Outlook for Mac",Interactive Jupyter Notebooks crashing before loading,,,ok,,,,docs|external_docs|tickets,external_official|local_official|ticket_memory,"{""module_names"": [], ""partition_names"": [], ""query_type"": ""software_version"", ""scope_family_names"": [], ""scope_required"": null, ""service_names"": [], ""software_names"": [""Jupyter Notebooks""], ""software_versions"": [], ""system_names"": [], ""toolchain_names"": [], ""toolchain_versions"": [], ""version_sensitive_guess"": true}",r1:docs/local_official/current:https://docs.hpc.cam.ac.uk/hpc/software-packages/jupyter.html::chunk::0001 | r2:unknown/ticket_memory/current:HPCSSUP-65771 | r3:external_docs/external_official/unknown:https://slurm.schedmd.com/publications.html::chunk::0008,r1:local_official:final=1.120:auth=1.000:scope=0.000:ver=0.000:status=1.000:fresh=0.000 | r2:ticket_memory:final=1.043:auth=0.000:scope=0.000:ver=0.000:status=1.000:fresh=0.286 | r3:external_official:final=1.040:auth=0.500:scope=0.000:ver=0.000:status=0.000:fresh=0.000,both,local_official,yes,no,local_operational,no,yes,0.8349999999833,0.42857142857142855,0.26,0.3333333333333333,
all_docs_validity_aware,HPCSSUP-98311,"Dear CSD3 support,
I am trying to compile the newest release version of LAMMPS on Ampere with the GPU package. Following the instructions on [https://docs.hpc.cam.ac.uk/hpc/software-packages/lammps.html](https://docs.hpc.cam.ac.uk/hpc/software-packages/lammps.html) leads to an error when running a benchmark:
Cuda driver error 1 in call at file '/home/dc-bole2/git/lammps_amp/lib/gpu/geryon/nvd_kernel.h' in line 340.
Cuda driver error 1 in call at file '/home/dc-bole2/git/lammps_amp/lib/gpu/geryon/nvd_kernel.h' in line 340.
Cuda driver error 1 in call at file '/home/dc-bole2/git/lammps_amp/lib/gpu/geryon/nvd_kernel.h' in line 340.
Cuda driver error 1 in call at file '/home/dc-bole2/git/lammps_amp/lib/gpu/geryon/nvd_kernel.h' in line 340.
--------------------------------------------------------------------------
MPI_ABORT was invoked on rank 1 in communicator MPI_COMM_WORLD
with errorcode -1.
NOTE: invoking MPI_ABORT causes Open MPI to kill all MPI processes.
You may or may not see output from other processes, depending on
exactly when Open MPI kills them.
--------------------------------------------------------------------------
This is working without any issues when using version stable_29Aug2024_update2 as per the instructions. By any chance, do you happen to have any information on how to compile a more recent version of LAMMPS?
Many thanks,
Max",Compiling LAMMPS on Ampere,,,ok,,,,docs|external_docs|tickets,external_official|local_official|ticket_memory,"{""module_names"": [], ""partition_names"": [""ampere""], ""query_type"": ""software_version"", ""scope_family_names"": [""ampere""], ""scope_required"": true, ""service_names"": [], ""software_names"": [""LAMMPS Molecular Dynamics Simulator""], ""software_versions"": [], ""system_names"": [], ""toolchain_names"": [], ""toolchain_versions"": [], ""version_sensitive_guess"": true}",r1:docs/local_official/current:https://docs.hpc.cam.ac.uk/hpc/software-packages/lammps.html::chunk::0002 | r2:external_docs/external_official/unknown:https://docs.nvidia.com/cuda::chunk::0001 | r3:unknown/ticket_memory/current:HPCSSUP-59845,r1:local_official:final=1.140:auth=1.000:scope=0.000:ver=0.000:status=1.000:fresh=0.000 | r2:external_official:final=1.040:auth=0.500:scope=0.000:ver=0.000:status=0.000:fresh=0.000 | r3:ticket_memory:final=0.990:auth=0.000:scope=1.000:ver=0.000:status=1.000:fresh=0.714,both,local_and_external,yes,no,software_version,yes,yes,0.99999999998,0.0,0.51,0.9285714285714286,
all_docs_validity_aware,HPCSSUP-98292,"Dear Support,
Can someone please address this one from yesterday and today? Thanks.
Regards,
Muhammad Ahmed
________________________________
From: Jun Yao Chan <jun@revax.co.uk>
Sent: 27 January 2026 12:34
To: HPC JIRA service desk inbox <jiraservice@hpc.cam.ac.uk>
Cc: Alex Bartlam <Alex@revax.co.uk>; Jack Mander <jack@revax.co.uk>
Subject: DAWN Access Assistance
Hi,
I am looking to gain access to the DAWN Supercomputer, some of my colleagues already have access but I am not set up with an account yet. Are you able to set up login details for my account?
Here is the all the details:
Name: Jun Yao Chan
Email: jun@revax.co.uk
SSH keys: AAAAC3NzaC1lZDI1NTE5AAAAIL+klunbwQNR+EoEuzyqe0y0HGjf25GM3hIfka8DL1Ra
Thanks.
Regards,
Jun",Fw: DAWN Access Assistance,,,ok,,,,docs|external_docs|tickets,external_official|local_official|ticket_memory,"{""module_names"": [], ""partition_names"": [], ""query_type"": ""local_operational"", ""scope_family_names"": [""pvc""], ""scope_required"": true, ""service_names"": [], ""software_names"": [], ""software_versions"": [], ""system_names"": [""Dawn - Intel GPU (PVC) Nodes""], ""toolchain_names"": [], ""toolchain_versions"": [], ""version_sensitive_guess"": null}",r1:unknown/ticket_memory/current:HPCSSUP-98058 | r2:docs/local_official/legacy:https://docs.hpc.cam.ac.uk/hpc/user-guide/quickstart.html::chunk::0000 | r3:external_docs/external_official/unknown:https://slurm.schedmd.com/rest_api.html::chunk::0079,r1:ticket_memory:final=1.150:auth=0.000:scope=1.000:ver=0.000:status=1.000:fresh=1.000 | r2:local_official:final=1.060:auth=1.000:scope=0.000:ver=0.000:status=-0.500:fresh=0.000 | r3:external_official:final=1.040:auth=0.500:scope=0.000:ver=0.000:status=0.000:fresh=0.000,tickets,none,yes,no,local_operational,no,yes,0.6666666666333333,1.0,0.22,0.9,
all_docs_validity_aware,HPCSSUP-98278,"Dear HPC support team,
I have received the email that the HPC login issue has been resolved. But since yesterday evening till now, I still cannot login via the web portal [https://login-web.hpc.cam.ac.uk/](https://login-web.hpc.cam.ac.uk/). I wonder if this issue has been resolved or not.
Best,
Yiran",Cannot login to the HPC web portal,,,ok,,,,docs|external_docs|tickets,external_official|local_official|ticket_memory,"{""module_names"": [], ""partition_names"": [], ""query_type"": ""local_operational"", ""scope_family_names"": [], ""scope_required"": true, ""service_names"": [""Login-Web Interface""], ""software_names"": [], ""software_versions"": [], ""system_names"": [], ""toolchain_names"": [], ""toolchain_versions"": [], ""version_sensitive_guess"": null}",r1:unknown/ticket_memory/current:HPCSSUP-86199 | r2:docs/local_official/unknown:https://docs.hpc.cam.ac.uk/hpc/user-guide/waldur-pi.html::chunk::0000 | r3:external_docs/external_official/unknown:https://www.tensorflow.org/guide/extension_type::chunk::0017,r1:ticket_memory:final=1.127:auth=0.000:scope=1.000:ver=0.000:status=1.000:fresh=0.714 | r2:local_official:final=1.080:auth=1.000:scope=0.000:ver=0.000:status=0.000:fresh=0.000 | r3:external_official:final=1.040:auth=0.500:scope=0.000:ver=0.000:status=0.000:fresh=0.000,docs,local_official,yes,no,local_operational,no,yes,0.7928571428373213,1.0,0.13,0.875,
all_docs_validity_aware,HPCSSUP-98277,"Good morning,
I have a question regarding the cluster’s behavior during reduced power consumption periods. I’ve noticed that jobs submitted during these windows are accepted and scheduled, but they execute at a significantly lower speed. This has led to several jobs timing out before completion, resulting in a loss of compute hours and requiring expensive reruns (even when requesting the same amount of resources as previously successful jobs).
Is there a way to prevent jobs from starting if the cluster is in a low-power state? Specifically, I’m looking for a requirement or constraint I can add to my job scripts (e.g., a specific #SLURM flag) to ensure they only run when full performance resources are available.
Thank you for your help!
Best regards,
Clara",Scheduling jobs during maintenance,,,ok,,,,docs|external_docs|tickets,external_official|local_official|ticket_memory,"{""module_names"": [], ""partition_names"": [], ""query_type"": ""local_operational"", ""scope_family_names"": [], ""scope_required"": null, ""service_names"": [], ""software_names"": [], ""software_versions"": [], ""system_names"": [], ""toolchain_names"": [], ""toolchain_versions"": [], ""version_sensitive_guess"": null}",r1:docs/local_official/current:https://docs.hpc.cam.ac.uk/hpc/user-guide/long.html::chunk::0001 | r2:unknown/ticket_memory/current:HPCSSUP-73417 | r3:external_docs/external_official/unknown:https://slurm.schedmd.com/job_reason_codes.html::chunk::0000,r1:local_official:final=1.120:auth=1.000:scope=0.000:ver=0.000:status=1.000:fresh=0.000 | r2:ticket_memory:final=1.046:auth=0.000:scope=0.000:ver=0.000:status=1.000:fresh=0.571 | r3:external_official:final=1.040:auth=0.500:scope=0.000:ver=0.000:status=0.000:fresh=0.000,docs,local_official,yes,no,local_operational,no,yes,0.36666666664833336,1.0,0.32,0.2,
all_docs_validity_aware,HPCSSUP-98114,"Dear Support Desk,
*
Your name: Jiakai Chen
*
Your account/PI: Prof. Sebastian Schemm/ Prof. Simon Driscoll (account: schemm-sl+)
*
your job submission script: Job ID 21047257
*
the working directories or paths you are using (e.g. /rds/user/$USER/hpc-work/foo/bar/): /home/jc2405/Project/neuralgcm/neuralgcm
*
as much detail as possible on what you are working on, what you have tried, and error messages you receive:
The above script requests for 20 minutes of GPU (1 node) but it has been in the queue for around 15 hours, while it usually takes just around an hour. Can I check if that's expected? Thank you.
Best,
Kai",Unusually long queue time,,,ok,,,,docs|external_docs|tickets,external_official|local_official|ticket_memory,"{""module_names"": [], ""partition_names"": [], ""query_type"": ""local_operational"", ""scope_family_names"": [], ""scope_required"": true, ""service_names"": [""Research Data Store""], ""software_names"": [], ""software_versions"": [], ""system_names"": [], ""toolchain_names"": [], ""toolchain_versions"": [], ""version_sensitive_guess"": null}",r1:docs/local_official/current:https://docs.hpc.cam.ac.uk/hpc/user-guide/long.html::chunk::0001 | r2:unknown/ticket_memory/current:HPCSSUP-59843 | r3:external_docs/external_official/unknown:https://slurm.schedmd.com/job_reason_codes.html::chunk::0000,r1:local_official:final=1.120:auth=1.000:scope=0.000:ver=0.000:status=1.000:fresh=0.000 | r2:ticket_memory:final=1.046:auth=0.000:scope=0.000:ver=0.000:status=1.000:fresh=0.571 | r3:external_official:final=1.040:auth=0.500:scope=0.000:ver=0.000:status=0.000:fresh=0.000,docs,local_official,yes,no,local_operational,no,yes,0.6683333333199667,0.9,nan,0.625,
all_docs_validity_aware,HPCSSUP-97739,"Hello,
Please advise, I do not know the password. I do not think I ever set up my password when I first activated my account.
faylindfield@user0252 ~ % ssh fl483@login-icelake.hpc.cam.ac.uk
<><><><><><><><><><><><><><><><><><><><><><><><><><><><><><>
<>                                                        <>
<>                        
[FILE ATTACHMENT]
                       <>
<>                                                        <>
<>                    RCS CSD3 Facility                   <>
<>             Unauthorised Access Prohibited             <>
<>    Use of this system constitutes acceptance of our    <>
<>                     policies - see                     <>
<> [http://docs.hpc.cam.ac.uk/hpc/user-guide/policies.html](http://docs.hpc.cam.ac.uk/hpc/user-guide/policies.html) <>
<>        All data is stored in the United Kingdom.       <>
<>                                                        <>
<><><><><><><><><><><><><><><><><><><><><><><><><><><><><><>
(fl483@login-icelake.hpc.cam.ac.uk) Password:
Thank you for your help,
Best wishes,
Fay",HPC password,,,ok,,,,docs|external_docs|tickets,external_official|local_official|ticket_memory,"{""module_names"": [], ""partition_names"": [], ""query_type"": ""local_operational"", ""scope_family_names"": [], ""scope_required"": null, ""service_names"": [], ""software_names"": [], ""software_versions"": [], ""system_names"": [], ""toolchain_names"": [], ""toolchain_versions"": [], ""version_sensitive_guess"": null}",r1:docs/local_official/legacy:https://docs.hpc.cam.ac.uk/hpc/user-guide/quickstart.html::chunk::0000 | r2:external_docs/external_official/unknown:https://www.intel.com/content/www/us/en/docs/mpi-library/developer-guide-linux/2021-16/problem-password-required.html::chunk::0004 | r3:unknown/ticket_memory/unknown:HPCSSUP-41367,r1:local_official:final=1.060:auth=1.000:scope=0.000:ver=0.000:status=-0.500:fresh=0.000 | r2:external_official:final=1.040:auth=0.500:scope=0.000:ver=0.000:status=0.000:fresh=0.000 | r3:ticket_memory:final=1.004:auth=0.000:scope=0.000:ver=0.000:status=0.000:fresh=0.429,docs,local_official,yes,no,local_operational,no,yes,0.6845238095066964,0.75,0.23,0.5,
all_docs_validity_aware,HPCSSUP-97675,"Hi,
We would like to archive some old projects on our platform. Is RFS the only storage option available, or is RCS available from within the SRCP?
Thanks
Tom",SRCP Epi platform - storage query,,,ok,,,,docs|external_docs|tickets,external_official|local_official|ticket_memory,"{""module_names"": [], ""partition_names"": [], ""query_type"": ""local_operational"", ""scope_family_names"": [], ""scope_required"": true, ""service_names"": [""Research File Share"", ""Secure Research Computing""], ""software_names"": [], ""software_versions"": [], ""system_names"": [], ""toolchain_names"": [], ""toolchain_versions"": [], ""version_sensitive_guess"": null}",r1:unknown/ticket_memory/current:HPCSSUP-61311 | r2:docs/local_official/eol:https://docs.hpc.cam.ac.uk/hpc/user-guide/wbic.html::chunk::0004 | r3:external_docs/external_official/unknown:https://slurm.schedmd.com/archive::chunk::0000,r1:ticket_memory:final=1.044:auth=0.000:scope=0.000:ver=0.000:status=1.000:fresh=0.429 | r2:local_official:final=1.040:auth=1.000:scope=0.000:ver=0.000:status=-1.000:fresh=0.000 | r3:external_official:final=1.040:auth=0.500:scope=0.000:ver=0.000:status=0.000:fresh=0.000,docs,local_official,yes,no,local_operational,no,yes,0.5428571428435713,1.0,0.0,0.6666666666666666,
